Configuration,RMSE,MAE,Val Loss (best)
"LSTM (units=32, dropout=0.1)",57.53920388171285,40.569018688259646,0.0012282903771847486
"LSTM (units=64, dropout=0.2)",32.61978233089047,19.791194663639626,0.0003728489682544023
"LSTM (units=128, dropout=0.4)",53.066992176600245,39.9858936248225,0.0021668337285518646
