Model,MAE,RMSE,MAPE (%),R2,Training Time (s),Epochs Run
LSTM,29.459531787906958,42.944682165748794,17.067263125429864,0.4467572106283342,140.0,14
GRU,10.695048000208665,17.156275022083822,6.068044024837687,0.9117036043378491,164.4,12
